iter	Passed	Remaining
0	1	138
1	2	117
2	3	108
3	4	104
4	5	105
5	6	103
6	7	100
7	8	97
8	9	95
9	10	93
10	11	92
11	12	91
12	13	89
13	14	88
14	15	87
15	16	85
16	17	84
17	18	83
18	19	83
19	20	82
20	21	81
21	22	80
22	23	79
23	24	77
24	25	77
25	26	76
26	27	75
27	29	74
28	29	73
29	30	72
30	31	71
31	32	69
32	34	69
33	35	68
34	36	67
35	37	66
36	38	65
37	39	65
38	40	63
39	41	62
40	42	61
41	43	59
42	44	58
43	45	57
44	46	56
45	47	55
46	48	54
47	49	53
48	50	52
49	51	51
50	52	50
51	53	49
52	54	48
53	55	47
54	56	46
55	57	45
56	58	44
57	59	43
58	60	42
59	61	41
60	62	40
61	64	39
62	65	38
63	66	37
64	67	36
65	68	35
66	69	34
67	70	33
68	71	32
69	72	30
70	73	29
71	74	28
72	75	27
73	76	26
74	77	25
75	78	24
76	80	23
77	81	22
78	82	21
79	83	20
80	84	19
81	85	18
82	86	17
83	86	16
84	87	15
85	88	14
86	89	13
87	91	12
88	92	11
89	93	10
90	94	9
91	95	8
92	96	7
93	97	6
94	98	5
95	99	4
96	100	3
97	101	2
98	102	1
99	103	0
